Comment,Designator,Footprint,LCSC Part Number,Manufacturing Part Number
470nF,"C1,C11",0603_1608Metric,C1623,CL10B474KA8NNNC
100nF,"C2,C12",0402_1005Metric,C1525,CL05B104KO5NNNC
100pF,"C3,C4,C5,C6,C7,C14,C17",0402_1005Metric,C1546,0402CG101J500NT
LED_Small,"D1,D2",0603_1608Metric,C2286,KT-0603R
Conn_Coaxial_Small,"J2,J3,J5,J6,J7,J8,J9",Library:SMA_Amphenol_901-143_Vertical,C496549,BWSMA-KE-Z001
160nH,"L5,L6,L9,L12,L13,L25,L27",0603_1608Metric,C140445,LQW18ANR16J00D
1.00E+03,"R1,R2,R3,R11,R12",0402_1005Metric,C11702,0402WGF1001TCE
47,"R4,R15",0603_1608Metric,C23182,0603WAF470JT5E
330,R5,0402_1005Metric,C25104,0402WGF3300TCE
200,"R6,R13,R16",0402_1005Metric,C25087,0402WGF2000TCE
0,"R7,R8,R14,Z18",0402_1005Metric,C17168,0402WGF0000TCE
2.20E+03,R10,0402_1005Metric,C25879,0402WGF2201TCE
L78L05_SOT89,"U1,U5",SOT-89-3,C71136,78L05G-AB3-R 
BFP640,"U3,U6,U7,U8",SOT-343,C439781,BFP640H6327
3.6pF,"Z1,Z4,Z5,Z19",0402_1005Metric,C161321,GJM1555C1H3R6WB01D
1pF,"Z2,Z8,Z9,Z12",0402_1005Metric,C1550,0402CG1R0C500NT
20nH,"Z15,Z20",0402_1005Metric,C96730,SDCL1005C20NJTDF
